horizon,predicted_level,forecast_date,target_date,level_model_name,feature_set,rmse,mae,r2,mape,model_path,task,predicted_movement,confidence_pct,movement_model_name,accuracy,f1_score,auc,threshold
1,3.309908332116981,2026-06-30,2026-07-01,Linear SVM without extra chart features or news,Mouchtaris public-data features,1.5743277435834018,0.2984917762233602,0.8182162410151856,4.98639561587516,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_LEVEL_t1_Linear_SVM.pkl,level,,,,,,,
3,3.315731213060542,2026-06-30,2026-07-03,Linear SVM without extra chart features or news,Mouchtaris public-data features,2.2687415329128946,0.4847956088305997,0.4293174955919285,7.933435646938207,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_LEVEL_t3_Linear_SVM.pkl,level,,,,,,,
5,3.406405126889152,2026-06-30,2026-07-07,Random Forest without extra chart features or news,Mouchtaris public-data features,2.4301730940427024,0.5972344199266809,0.1986671668171831,10.276380831401664,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_LEVEL_t5_Random_Forest.pkl,level,,,,,,,
10,3.725808124972521,2026-06-30,2026-07-14,Random Forest without extra chart features or news,Mouchtaris public-data features,2.493179178170776,0.757474536296447,0.0169282398765889,15.287265133166974,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_LEVEL_t10_Random_Forest.pkl,level,,,,,,,
1,,2026-06-30,2026-07-01,,Top 40 MI features,,,,,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_MOVEMENT_t1_Random_Forest.pkl,movement,Down,77.37392199852155,Random Forest without extra chart features or news,58.088,57.463,54.361,0.5
2,,2026-06-30,2026-07-02,,Top 20 MI features,,,,,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_MOVEMENT_t2_Hist_Gradient_Boosting.pkl,movement,Down,67.79297682384127,Hist Gradient Boosting without extra chart features or news,56.985,55.172,53.872,0.48
3,,2026-06-30,2026-07-03,,Top 20 MI features,,,,,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_MOVEMENT_t3_Gradient_Boosting.pkl,movement,Down,52.52898315174757,Gradient Boosting without extra chart features or news,56.25,36.364,54.411,0.5
5,,2026-06-30,2026-07-07,,Top 60 MI features,,,,,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_MOVEMENT_t5_Random_Forest.pkl,movement,Down,82.41682741854265,Random Forest without extra chart features or news,63.603,30.769,50.202,0.63
10,,2026-06-30,2026-07-14,,Top 10 MI features,,,,,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_MOVEMENT_t10_Logistic_Regression.pkl,movement,Down,40.14835365292131,Logistic Regression without extra chart features or news,62.313,59.761,67.691,0.72
15,,2026-06-30,2026-07-21,,Top 60 MI features,,,,,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_MOVEMENT_t15_Hist_Gradient_Boosting.pkl,movement,Up,76.13452035095322,Hist Gradient Boosting without extra chart features or news,65.399,66.421,70.271,0.19
20,,2026-06-30,2026-07-28,,All candidate features,,,,,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_MOVEMENT_t20_Hist_Gradient_Boosting.pkl,movement,Down,59.3575158594589,Hist Gradient Boosting without extra chart features or news,65.891,65.079,65.485,0.5
30,,2026-06-30,2026-08-11,,Top 60 MI features,,,,,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_MOVEMENT_t30_Hist_Gradient_Boosting.pkl,movement,Down,16.478905739331328,Hist Gradient Boosting without extra chart features or news,71.774,50.0,64.256,0.88
40,,2026-06-30,2026-08-25,,All candidate features,,,,,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_MOVEMENT_t40_Logistic_Regression.pkl,movement,Up,86.03154866840794,Logistic Regression without extra chart features or news,68.487,71.698,74.921,0.5
60,,2026-06-30,2026-09-22,,Top 60 MI features,,,,,/content/drive/MyDrive/final_platform_actual_dissertation_models/NATGAS/NATGAS_MOVEMENT_t60_Extra_Trees.pkl,movement,Up,73.28338762381964,Extra Trees without extra chart features or news,67.89,74.453,66.818,0.38
